Thu Jan 18 14:07:22 2024    output.prof

         28111098 function calls (19759108 primitive calls) in 46.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.194    0.097 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/graph_objs/_figure.py:714(update_layout)
        2    0.000    0.000    0.194    0.097 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:1377(update_layout)
  415/413    0.001    0.000    0.190    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:159(_check_path_in_prop_tree)
        1    0.000    0.000    0.179    0.179 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/terminal/interactiveshell.py:1(<module>)
      900    0.001    0.000    0.178    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:780(_formatArray)
36900/900    0.048    0.000    0.177    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:789(recurser)
  860/856    0.001    0.000    0.170    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5827(__getitem__)
  603/426    0.001    0.000    0.163    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        6    0.000    0.000    0.158    0.026 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:39(<dictcomp>)
       48    0.000    0.000    0.158    0.003 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:40(<setcomp>)
      624    0.002    0.000    0.155    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
  711/497    0.001    0.000    0.121    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/importers.py:23(__getattr__)
        8    0.000    0.000    0.121    0.015 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:354(encode_node_variable)
      634    0.004    0.000    0.120    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     3474    0.006    0.000    0.120    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:4326(_get_validator)
